"LNAUTO","LNCON","LNCONOTH","LNCRCD","LNRE","STNAME","TPD","YEAR"
279559059,1206565697,239232107,687774531,3511990650,"United States",214063792,"2011"
,1220518981,511660000,708858981,3614278255,"United States",225155737,"2010"
,970621037,527520436,443100601,3781248706,"United States",248397175,"2009"
,992081116,527310794,464770322,3799582551,"United States",199005998,"2008"
,951532900,514724399,436808501,3636702513,"United States",112628427,"2007"
,850456155,463509287,386946868,3397858345,"United States",77396242,"2006"
,830688880,436032918,394655962,2956549325,"United States",63321345,"2005"
,833165119,423645837,409519282,2597609225,"United States",56343275,"2004"
,764001126,411909417,352091709,2248996306,"United States",60210170,"2003"
,697525752,384948237,312577515,2049115397,"United States",62070487,"2002"
,623182406,357954399,265228007,1783702436,"United States",65464713,"2001"
,600226403,352174242,248052161,1659640993,"United States",58015216,"2000"
,552367420,341480122,210887298,1498541387,"United States",48568598,"1999"
,564844997,336906090,227938907,1335461999,"United States",50651159,"1998"
,558650765,324818725,233832040,1236533106,"United States",48603940,"1997"
,559918797,325319914,234598883,1130961257,"United States",47557076,"1996"
,532640233,314878416,217761817,1072504445,"United States",41434525,"1995"
,484162516,296457862,187704654,990449769,"United States",34451707,"1994"
,417290491,263489524,153800967,917591402,"United States",35896675,"1993"
,383083172,247248620,135834552,864346330,"United States",43288016,"1992"
,388996614,250462590,138534024,847976872,"United States",52539038,"1991"
,399324743,266413460,132911283,825891247,"United States",58032820,"1990"
,397857791,266883392,130974399,759284022,"United States",48058033,"1989"
,374548881,257762209,116786672,673296777,"United States",41180485,"1988"
,347986020,245471027,102514993,598699606,"United States",40563426,"1987"